Positions,short_name,sofifa_id,Crossing,Finishing,Heading,ShortPassing,Volleys,Dribbling,Curve,LongPassing,BallControl,FKAccuracy,Passing,Shooting
Midfielder,L. Messi,158023,85,95,70,91,88,96,93,91,96,94,91.0,92.0
Forward,R. Lewandowski,188545,71,95,90,85,89,85,79,70,88,85,79.0,92.0
Forward,Cristiano Ronaldo,20801,87,95,90,80,86,88,81,77,88,84,80.0,94.0
Midfielder,Neymar Jr,190871,85,83,63,86,86,95,88,81,95,87,86.0,83.0
Midfielder,K. De Bruyne,192985,94,82,55,94,82,88,85,93,91,83,93.0,86.0
Goalkeeper,J. Oblak,200389,13,11,15,43,13,12,13,40,30,14,,
Forward,K. Mbappé,231747,78,93,72,85,83,93,80,71,91,69,80.0,88.0
Goalkeeper,M. Neuer,167495,15,13,25,60,11,30,14,68,46,11,,
Goalkeeper,M. ter Stegen,192448,18,14,11,61,14,21,18,63,30,12,,
Forward,H. Kane,202126,80,94,86,85,88,83,83,86,85,65,83.0,91.0
Midfielder,N. Kanté,215914,68,65,54,82,56,79,49,79,81,49,75.0,66.0
Midfielder,S. Mané,208722,78,86,84,84,75,90,77,71,88,64,80.0,83.0
Goalkeeper,G. Donnarumma,230621,12,12,12,36,8,28,12,34,30,14,,
Goalkeeper,Alisson,212831,17,13,29,45,20,27,19,44,30,18,,
Goalkeeper,Ederson,210257,20,14,14,61,18,23,15,66,40,20,,
Midfielder,M. Salah,209331,79,91,59,84,81,90,83,75,89,69,81.0,87.0
Midfielder,J. Kimmich,212622,91,68,72,87,69,83,85,90,85,61,86.0,73.0
Defender,V. van Dijk,203376,53,52,87,79,45,70,60,86,76,70,71.0,60.0
Forward,K. Benzema,165153,75,90,89,86,86,87,81,73,90,73,81.0,86.0
Midfielder,H. Son,200104,83,88,68,84,78,87,85,74,84,74,82.0,87.0
Goalkeeper,T. Courtois,192119,14,14,13,33,12,13,19,35,23,20,,
Midfielder,Casemiro,200145,58,64,79,84,62,69,62,84,79,74,76.0,73.0
Goalkeeper,K. Navas,193041,11,15,11,40,11,24,21,37,30,15,,
Forward,E. Haaland,239085,47,94,69,77,88,78,77,51,85,62,65.0,91.0
Midfielder,Bruno Fernandes,212198,87,83,64,91,87,83,87,88,87,87,89.0,86.0
Midfielder,R. Sterling,202652,79,85,46,83,67,87,79,69,86,72,79.0,82.0
Forward,R. Lukaku,192505,73,92,89,77,78,83,78,70,77,66,74.0,87.0
Midfielder,T. Kroos,182521,88,77,58,93,82,80,86,93,88,84,91.0,81.0
Forward,L. Suárez,176580,80,93,84,83,90,83,86,77,86,82,82.0,90.0
Defender,Sergio Ramos,155862,66,65,92,82,69,65,74,83,83,76,76.0,70.0
Midfielder,M. Verratti,199556,82,60,57,90,64,91,85,89,92,64,87.0,61.0
Defender,Rúben Dias,239818,54,29,87,81,32,64,46,74,74,48,65.0,38.0
Midfielder,J. Sancho,233049,82,83,38,87,83,92,84,70,90,65,82.0,76.0
Defender,T. Alexander-Arnold,231281,92,60,69,86,62,78,87,90,86,85,88.0,68.0
Midfielder,F. de Jong,228702,78,72,72,91,70,88,84,87,89,64,85.0,69.0
Defender,A. Robertson,216267,88,55,67,82,32,81,82,76,83,71,81.0,61.0
