Positions,sofifa_id,short_name,Diving,Handling,Kicking,Positioning,Reflexes,Speed,ShortPassing,LongPassing
Midfielder,158023,L. Messi,6,11,15,14,8,,91,91
Forward,188545,R. Lewandowski,15,6,12,8,10,,85,70
Forward,20801,Cristiano Ronaldo,7,11,15,14,11,,80,77
Midfielder,190871,Neymar Jr,9,9,15,15,11,,86,81
Midfielder,192985,K. De Bruyne,15,13,5,10,13,,94,93
Goalkeeper,200389,J. Oblak,87,92,78,90,90,50.0,43,40
Forward,231747,K. Mbappé,13,5,7,11,6,,85,71
Goalkeeper,167495,M. Neuer,88,88,91,89,88,56.0,60,68
Goalkeeper,192448,M. ter Stegen,88,85,88,88,90,43.0,61,63
Forward,202126,H. Kane,8,10,11,14,11,,85,86
Midfielder,215914,N. Kanté,15,12,10,7,10,,82,79
Midfielder,208722,S. Mané,10,10,15,7,14,,84,71
Goalkeeper,230621,G. Donnarumma,91,83,79,85,90,52.0,36,34
Goalkeeper,212831,Alisson,86,86,84,90,89,52.0,45,44
Goalkeeper,210257,Ederson,87,82,93,88,88,64.0,61,66
Midfielder,209331,M. Salah,14,14,9,11,14,,84,75
Midfielder,212622,J. Kimmich,8,15,7,15,15,,87,90
Defender,203376,V. van Dijk,13,10,13,11,11,,79,86
Forward,165153,K. Benzema,13,11,5,5,7,,86,73
Midfielder,200104,H. Son,11,13,13,6,10,,84,74
Goalkeeper,192119,T. Courtois,84,89,74,86,88,46.0,33,35
Midfielder,200145,Casemiro,13,14,16,12,12,,84,84
Goalkeeper,193041,K. Navas,89,84,75,87,89,54.0,40,37
Forward,239085,E. Haaland,7,14,13,11,7,,77,51
Midfielder,212198,Bruno Fernandes,12,14,15,8,14,,91,88
Midfielder,202652,R. Sterling,15,12,12,15,9,,83,69
Forward,192505,R. Lukaku,8,15,14,7,10,,77,70
Midfielder,182521,T. Kroos,10,11,13,7,10,,93,93
Forward,176580,L. Suárez,27,25,31,33,37,,83,77
Defender,155862,Sergio Ramos,11,8,9,7,11,,82,83
Midfielder,199556,M. Verratti,12,12,15,15,10,,90,89
Defender,239818,Rúben Dias,7,8,13,7,12,,81,74
Midfielder,233049,J. Sancho,7,11,10,11,13,,87,70
Defender,231281,T. Alexander-Arnold,14,15,14,6,7,,86,90
Midfielder,228702,F. de Jong,7,13,10,10,9,,91,87
Defender,216267,A. Robertson,11,8,10,7,14,,82,76
Midfielder,209658,L. Goretzka,13,8,15,11,9,,86,84
Defender,207865,Marquinhos,6,6,12,10,13,,84,85
Forward,211110,P. Dybala,5,4,4,5,8,,87,79
Midfielder,195864,P. Pogba,5,6,2,4,3,,88,92
Forward,153079,S. Agüero,13,15,6,11,14,,80,64
Midfielder,189596,T. Müller,6,7,11,14,14,,85,79
Goalkeeper,186153,W. Szczęsny,86,82,73,87,88,49.0,32,36
Midfielder,183898,Á. Di María,10,7,11,12,11,,84,82
Midfielder,177003,L. Modrić,13,9,7,14,9,,91,89
Goalkeeper,167948,H. Lloris,88,83,65,84,90,61.0,50,50
Forward,192387,C. Immobile,6,8,15,12,6,,80,53
Midfielder,213345,K. Coman,5,3,5,3,5,,80,74
Forward,208830,J. Vardy,15,14,7,15,11,,74,60
Defender,210514,João Cancelo,6,9,15,14,14,,85,78
Defender,212218,A. Laporte,10,11,5,14,5,,82,80
Midfielder,231866,Rodri,10,10,7,14,8,,85,83
Midfielder,218667,Bernardo Silva,9,10,14,12,9,,86,76
Midfielder,226161,Marcos Llorente,13,6,6,11,15,,86,83
Midfielder,204485,R. Mahrez,15,9,13,11,6,,83,75
Defender,232363,M. Škriniar,10,13,12,8,12,,72,49
Forward,208093,Gerard Moreno,15,12,7,12,10,,81,75
Midfielder,209499,Fabinho,13,12,6,8,8,,84,82
Defender,201535,R. Varane,11,11,9,5,14,,78,76
Midfielder,189509,Thiago,6,11,7,9,13,,90,89
Defender,201024,K. Koulibaly,7,11,7,13,5,,63,63
Defender,138956,G. Chiellini,3,3,2,4,3,,65,67
Goalkeeper,162835,S. Handanovič,81,81,65,92,87,47.0,42,40
Defender,189332,Jordi Alba,13,15,13,6,13,,85,79
Defender,178603,M. Hummels,15,6,10,5,6,,82,86
Midfielder,189511,Sergio Busquets,5,8,13,9,13,,87,85
Midfielder,189513,Parejo,5,9,12,14,8,,92,90
Goalkeeper,192984,K. Casteels,85,83,80,84,87,45.0,35,37
Midfielder,198219,L. Insigne,8,4,14,9,10,,87,84
Midfielder,223848,S. Milinković-Savić,7,10,7,16,7,,85,85
Forward,201942,Roberto Firmino,8,11,9,6,10,,84,76
Forward,202556,M. Depay,8,14,6,12,10,,81,76
Defender,204963,Carvajal,13,13,15,9,15,,83,74
Midfielder,205498,Jorginho,14,7,13,14,8,,92,89
Midfielder,206113,S. Gnabry,14,10,10,9,7,,82,78
Defender,235243,M. de Ligt,12,11,11,12,10,,75,63
Midfielder,226790,W. Ndidi,13,14,7,7,13,,78,75
Midfielder,230142,Oyarzabal,10,6,10,13,11,,83,73
Forward,231478,L. Martínez,11,8,8,8,13,,78,73
Midfielder,231677,M. Rashford,11,6,15,7,14,,80,71
Defender,235212,A. Hakimi,10,8,14,6,8,,81,73
Forward,194765,A. Griezmann,14,8,14,13,14,,84,82
Defender,198176,S. de Vrij,8,10,7,14,13,,75,71
Midfielder,193747,Koke,14,12,5,10,13,,86,84
Defender,164240,Thiago Silva,9,12,5,9,10,,80,80
Midfielder,183277,E. Hazard,11,12,6,8,8,,85,81
Midfielder,143076,A. Gómez,8,11,12,9,6,,85,80
Goalkeeper,163587,K. Schmeichel,84,78,80,83,90,47.0,44,46
Midfielder,168542,David Silva,6,15,7,6,12,,90,83
