Positions,sofifa_id,short_name,Pace,Shooting,Passing,Dribbling,Defending,Physic
Midfielder,158023,L. Messi,85.0,92.0,91.0,95.0,34.0,65.0
Forward,188545,R. Lewandowski,78.0,92.0,79.0,86.0,44.0,82.0
Forward,20801,Cristiano Ronaldo,87.0,94.0,80.0,88.0,34.0,75.0
Midfielder,190871,Neymar Jr,91.0,83.0,86.0,94.0,37.0,63.0
Midfielder,192985,K. De Bruyne,76.0,86.0,93.0,88.0,64.0,78.0
Goalkeeper,200389,J. Oblak,,,,,,
Forward,231747,K. Mbappé,97.0,88.0,80.0,92.0,36.0,77.0
Goalkeeper,167495,M. Neuer,,,,,,
Goalkeeper,192448,M. ter Stegen,,,,,,
Forward,202126,H. Kane,70.0,91.0,83.0,83.0,47.0,83.0
Midfielder,215914,N. Kanté,78.0,66.0,75.0,82.0,87.0,83.0
Midfielder,208722,S. Mané,91.0,83.0,80.0,89.0,44.0,77.0
Goalkeeper,230621,G. Donnarumma,,,,,,
Goalkeeper,212831,Alisson,,,,,,
Goalkeeper,210257,Ederson,,,,,,
Midfielder,209331,M. Salah,90.0,87.0,81.0,90.0,45.0,75.0
Midfielder,212622,J. Kimmich,70.0,73.0,86.0,84.0,83.0,79.0
Defender,203376,V. van Dijk,78.0,60.0,71.0,72.0,91.0,84.0
Forward,165153,K. Benzema,76.0,86.0,81.0,87.0,39.0,77.0
Midfielder,200104,H. Son,88.0,87.0,82.0,86.0,43.0,69.0
Goalkeeper,192119,T. Courtois,,,,,,
Midfielder,200145,Casemiro,65.0,73.0,76.0,73.0,86.0,90.0
Goalkeeper,193041,K. Navas,,,,,,
Forward,239085,E. Haaland,89.0,91.0,65.0,80.0,45.0,88.0
Midfielder,212198,Bruno Fernandes,75.0,86.0,89.0,84.0,70.0,77.0
Midfielder,202652,R. Sterling,91.0,82.0,79.0,87.0,45.0,66.0
Forward,192505,R. Lukaku,84.0,87.0,74.0,78.0,39.0,83.0
Midfielder,182521,T. Kroos,53.0,81.0,91.0,81.0,71.0,68.0
Forward,176580,L. Suárez,72.0,90.0,82.0,84.0,47.0,83.0
Defender,155862,Sergio Ramos,70.0,70.0,76.0,74.0,88.0,84.0
Midfielder,199556,M. Verratti,64.0,61.0,87.0,91.0,79.0,67.0
Defender,239818,Rúben Dias,61.0,38.0,65.0,68.0,88.0,88.0
Midfielder,233049,J. Sancho,81.0,76.0,82.0,91.0,36.0,65.0
Defender,231281,T. Alexander-Arnold,79.0,68.0,88.0,80.0,80.0,72.0
Midfielder,228702,F. de Jong,81.0,69.0,85.0,88.0,77.0,78.0
Defender,216267,A. Robertson,84.0,61.0,81.0,81.0,82.0,76.0
Midfielder,209658,L. Goretzka,81.0,82.0,82.0,84.0,81.0,86.0
Defender,207865,Marquinhos,81.0,53.0,75.0,74.0,89.0,81.0
Forward,211110,P. Dybala,84.0,86.0,86.0,90.0,40.0,60.0
Midfielder,195864,P. Pogba,71.0,81.0,86.0,86.0,65.0,83.0
Forward,153079,S. Agüero,71.0,89.0,75.0,87.0,33.0,69.0
Midfielder,189596,T. Müller,67.0,84.0,83.0,80.0,56.0,71.0
Goalkeeper,186153,W. Szczęsny,,,,,,
Midfielder,183898,Á. Di María,83.0,81.0,86.0,87.0,48.0,69.0
Midfielder,177003,L. Modrić,73.0,76.0,89.0,88.0,72.0,66.0
Goalkeeper,167948,H. Lloris,,,,,,
Forward,192387,C. Immobile,86.0,87.0,67.0,81.0,39.0,77.0
Midfielder,213345,K. Coman,93.0,76.0,79.0,88.0,30.0,60.0
Forward,208830,J. Vardy,85.0,84.0,70.0,80.0,52.0,73.0
Defender,210514,João Cancelo,85.0,71.0,83.0,84.0,80.0,72.0
Defender,212218,A. Laporte,63.0,50.0,72.0,69.0,86.0,80.0
Midfielder,231866,Rodri,61.0,70.0,77.0,78.0,82.0,82.0
Midfielder,218667,Bernardo Silva,80.0,76.0,83.0,91.0,54.0,67.0
Midfielder,226161,Marcos Llorente,88.0,80.0,81.0,82.0,78.0,82.0
Midfielder,204485,R. Mahrez,81.0,79.0,81.0,90.0,38.0,60.0
Defender,232363,M. Škriniar,80.0,41.0,53.0,69.0,87.0,84.0
Forward,208093,Gerard Moreno,79.0,86.0,77.0,84.0,46.0,73.0
Midfielder,209499,Fabinho,67.0,69.0,78.0,78.0,85.0,83.0
Defender,201535,R. Varane,82.0,49.0,64.0,65.0,87.0,82.0
Midfielder,189509,Thiago,63.0,72.0,86.0,90.0,70.0,66.0
Defender,201024,K. Koulibaly,81.0,28.0,51.0,65.0,87.0,85.0
Defender,138956,G. Chiellini,68.0,46.0,60.0,59.0,89.0,85.0
Goalkeeper,162835,S. Handanovič,,,,,,
Defender,189332,Jordi Alba,86.0,69.0,81.0,83.0,77.0,71.0
Defender,178603,M. Hummels,56.0,59.0,77.0,73.0,89.0,77.0
Midfielder,189511,Sergio Busquets,42.0,62.0,79.0,80.0,82.0,75.0
Midfielder,189513,Parejo,50.0,83.0,90.0,81.0,71.0,69.0
Goalkeeper,192984,K. Casteels,,,,,,
Midfielder,198219,L. Insigne,87.0,78.0,85.0,90.0,36.0,45.0
Midfielder,223848,S. Milinković-Savić,68.0,79.0,80.0,81.0,79.0,86.0
Forward,201942,Roberto Firmino,77.0,78.0,79.0,89.0,59.0,78.0
Forward,202556,M. Depay,82.0,83.0,82.0,84.0,30.0,79.0
Defender,204963,Carvajal,80.0,54.0,78.0,80.0,81.0,80.0
Midfielder,205498,Jorginho,55.0,67.0,86.0,81.0,73.0,73.0
Midfielder,206113,S. Gnabry,83.0,84.0,79.0,86.0,43.0,69.0
Defender,235243,M. de Ligt,73.0,59.0,60.0,69.0,84.0,87.0
Midfielder,226790,W. Ndidi,67.0,62.0,69.0,74.0,87.0,83.0
Midfielder,230142,Oyarzabal,82.0,82.0,81.0,84.0,41.0,63.0
Forward,231478,L. Martínez,84.0,81.0,72.0,85.0,48.0,84.0
Midfielder,231677,M. Rashford,90.0,84.0,79.0,84.0,43.0,77.0
Defender,235212,A. Hakimi,95.0,71.0,78.0,83.0,76.0,78.0
Forward,194765,A. Griezmann,80.0,84.0,84.0,87.0,52.0,72.0
Defender,198176,S. de Vrij,72.0,41.0,64.0,70.0,87.0,79.0
Midfielder,193747,Koke,70.0,75.0,85.0,81.0,79.0,80.0
