Positions,short_name,sofifa_id,Acceleration,SprintSpeed,Pace,Agility,Balance,Vision,Penalties,Stamina,ShotPower,LongShots
Midfielder,L. Messi,158023,91,80,85.0,91,95,95,75,72,86,94
Forward,R. Lewandowski,188545,77,79,78.0,77,82,81,90,76,90,87
Forward,Cristiano Ronaldo,20801,85,88,87.0,86,74,76,88,77,94,93
Midfielder,Neymar Jr,190871,93,89,91.0,96,84,90,93,81,80,81
Midfielder,K. De Bruyne,192985,76,76,76.0,79,78,94,83,89,91,91
Goalkeeper,J. Oblak,200389,43,60,,67,49,65,11,41,59,12
Forward,K. Mbappé,231747,97,97,97.0,92,83,82,79,88,86,82
Goalkeeper,M. Neuer,167495,54,60,,51,35,70,47,43,68,16
Goalkeeper,M. ter Stegen,192448,38,50,,39,43,70,25,35,66,10
Forward,H. Kane,202126,65,74,70.0,71,70,87,91,83,91,86
Midfielder,N. Kanté,215914,82,75,78.0,82,92,78,54,97,71,65
Midfielder,S. Mané,208722,93,90,91.0,93,88,84,71,85,83,80
Goalkeeper,G. Donnarumma,230621,50,55,,64,38,60,24,34,59,18
Goalkeeper,Alisson,212831,56,47,,40,37,66,23,32,63,14
Goalkeeper,Ederson,210257,64,63,,60,48,70,51,41,70,18
Midfielder,M. Salah,209331,89,91,90.0,91,91,83,86,85,82,84
Midfielder,J. Kimmich,212622,77,65,70.0,84,84,85,44,94,78,84
Defender,V. van Dijk,203376,66,88,78.0,61,53,65,62,69,81,64
Forward,K. Benzema,165153,77,75,76.0,79,72,87,84,78,85,79
Midfielder,H. Son,200104,85,90,88.0,86,78,83,73,88,88,89
Goalkeeper,T. Courtois,192119,42,52,,62,45,44,27,38,56,17
Midfielder,Casemiro,200145,60,69,65.0,61,66,80,66,89,88,81
Goalkeeper,K. Navas,193041,54,53,,60,61,68,25,39,56,13
Forward,E. Haaland,239085,82,94,89.0,75,72,71,76,82,94,87
Midfielder,Bruno Fernandes,212198,77,73,75.0,80,79,90,91,91,89,89
Midfielder,R. Sterling,202652,95,88,91.0,94,93,82,67,79,78,83
Forward,R. Lukaku,192505,81,87,84.0,60,52,75,88,71,89,74
Midfielder,T. Kroos,182521,55,52,53.0,63,71,90,73,75,89,86
Forward,L. Suárez,176580,76,69,72.0,75,78,84,83,78,89,88
Defender,Sergio Ramos,155862,71,69,70.0,77,66,71,92,78,79,64
Midfielder,M. Verratti,199556,68,60,64.0,91,94,89,64,76,60,58
Defender,Rúben Dias,239818,57,65,61.0,59,56,51,45,88,74,22
Midfielder,J. Sancho,233049,85,78,81.0,91,90,87,62,77,73,65
Defender,T. Alexander-Arnold,231281,77,80,79.0,73,73,87,55,88,82,75
Midfielder,F. de Jong,228702,80,82,81.0,88,79,86,45,90,68,66
Defender,A. Robertson,216267,83,85,84.0,78,74,80,55,95,76,65
Midfielder,L. Goretzka,209658,78,83,81.0,76,71,84,60,88,85,86
Defender,Marquinhos,207865,81,81,81.0,69,67,74,52,83,65,45
Forward,P. Dybala,211110,88,80,84.0,92,94,91,84,70,84,89
Midfielder,P. Pogba,195864,63,77,71.0,73,67,89,81,77,90,84
Forward,S. Agüero,153079,75,68,71.0,82,90,80,75,62,90,83
Midfielder,T. Müller,189596,66,67,67.0,73,71,85,70,86,78,82
Goalkeeper,W. Szczęsny,186153,51,47,,55,51,48,18,45,55,14
Midfielder,Á. Di María,183898,83,83,83.0,94,76,88,73,78,83,86
Midfielder,L. Modrić,177003,76,70,73.0,91,92,90,82,83,79,82
Goalkeeper,H. Lloris,167948,61,62,,55,54,50,40,41,49,14
Forward,C. Immobile,192387,84,87,86.0,75,85,71,88,78,86,80
Midfielder,K. Coman,213345,94,93,93.0,91,84,81,70,69,80,73
Forward,J. Vardy,208830,85,85,85.0,76,76,76,85,76,87,67
Defender,João Cancelo,210514,86,84,85.0,80,78,83,46,90,80,75
Defender,A. Laporte,212218,59,67,63.0,57,60,65,44,72,68,47
Midfielder,Rodri,231866,60,62,61.0,65,65,81,46,87,83,76
Midfielder,Bernardo Silva,218667,83,77,80.0,94,92,84,68,93,76,76
Midfielder,Marcos Llorente,226161,86,90,88.0,82,69,86,64,90,84,79
Midfielder,R. Mahrez,204485,84,79,81.0,92,88,84,70,75,79,79
Defender,M. Škriniar,232363,76,84,80.0,54,56,46,56,79,50,30
Forward,Gerard Moreno,208093,80,78,79.0,77,70,78,85,79,83,83
Midfielder,Fabinho,209499,65,68,67.0,64,64,75,90,88,81,70
Defender,R. Varane,201535,79,85,82.0,62,39,59,43,76,52,53
Midfielder,Thiago,189509,72,55,63.0,91,90,85,75,74,75,73
Defender,K. Koulibaly,201024,74,87,81.0,51,34,52,33,70,55,15
Defender,G. Chiellini,138956,67,69,68.0,53,57,50,50,71,78,49
Goalkeeper,S. Handanovič,162835,45,50,,47,36,41,23,41,49,19
Defender,Jordi Alba,189332,87,86,86.0,90,85,78,59,87,64,66
Defender,M. Hummels,178603,47,64,56.0,61,62,80,68,66,71,49
Midfielder,Sergio Busquets,189511,40,43,42.0,67,50,83,60,78,61,54
Midfielder,Parejo,189513,52,49,50.0,63,72,89,88,78,81,88
Goalkeeper,K. Casteels,192984,44,46,,50,43,42,20,44,60,18
Midfielder,L. Insigne,198219,90,84,87.0,89,93,89,87,74,76,82
Midfielder,S. Milinković-Savić,223848,66,70,68.0,62,63,82,56,91,83,80
Forward,Roberto Firmino,201942,77,77,77.0,85,86,83,72,87,79,76
Forward,M. Depay,202556,81,83,82.0,80,81,85,76,79,87,83
Defender,Carvajal,204963,79,80,80.0,79,81,74,45,89,68,47
Midfielder,Jorginho,205498,61,50,55.0,77,72,88,91,87,71,62
Midfielder,S. Gnabry,206113,90,77,83.0,87,88,83,68,78,87,82
Defender,M. de Ligt,235243,71,75,73.0,60,62,45,40,75,82,66
Midfielder,W. Ndidi,226790,65,68,67.0,69,66,67,57,90,80,70
Midfielder,Oyarzabal,230142,83,81,82.0,83,80,85,84,82,80,81
Forward,L. Martínez,231478,86,83,84.0,86,89,81,74,80,80,74
Midfielder,M. Rashford,231677,86,93,90.0,84,75,81,84,86,92,81
Defender,A. Hakimi,235212,95,95,95.0,86,79,75,46,91,77,70
Forward,A. Griezmann,194765,80,80,80.0,92,83,85,79,86,82,83
Defender,S. de Vrij,198176,69,74,72.0,61,59,70,41,80,65,60
Midfielder,Koke,193747,72,69,70.0,73,82,86,67,93,83,80
Defender,Thiago Silva,164240,52,54,53.0,67,66,71,60,68,71,65
Midfielder,E. Hazard,183277,86,82,84.0,87,89,84,87,77,82,77
Midfielder,A. Gómez,143076,91,83,87.0,93,93,86,72,75,79,82
Goalkeeper,K. Schmeichel,163587,45,51,,61,47,59,26,34,60,14
Midfielder,David Silva,168542,70,57,63.0,84,89,90,75,66,72,73
Goalkeeper,Y. Sommer,177683,48,54,,55,58,64,24,45,63,12
Forward,E. Cavani,179813,64,68,66.0,68,57,75,85,81,87,77
Defender,L. Bonucci,184344,60,68,64.0,59,53,71,70,65,74,65
Goalkeeper,P. Gulácsi,185122,42,44,,41,42,44,24,35,57,12
Midfielder,İ. Gündoğan,186942,66,65,65.0,77,77,86,80,74,79,81
Midfielder,M. Reus,188350,76,71,73.0,83,82,86,76,67,86,83
Defender,K. Walker,188377,89,94,92.0,66,69,69,63,86,86,69
Forward,P. Aubameyang,188567,87,91,89.0,77,67,77,83,79,82,78
Defender,R. Guerreiro,209889,84,67,75.0,88,90,85,44,79,79,80
Midfielder,M. Brozović,216352,70,68,69.0,79,84,80,69,94,80,84
Goalkeeper,M. Maignan,215698,49,51,,39,55,60,15,39,64,20
Forward,T. Werner,212188,93,89,91.0,82,76,68,78,83,85,77
Defender,Ricardo Pereira,210243,82,83,83.0,79,82,76,61,84,74,64
Midfielder,H. Ziyech,208670,79,77,78.0,85,78,89,67,79,83,77
Midfielder,F. Kostić,208574,89,88,88.0,76,79,81,64,90,85,78
Midfielder,Y. Carrasco,208418,89,88,88.0,87,73,77,81,80,85,82
Defender,J. Giménez,216460,70,69,69.0,52,40,46,38,60,72,48
Midfielder,Y. Tielemans,216393,67,59,63.0,67,77,87,73,81,87,86
Midfielder,F. Kessié,230938,76,79,78.0,72,79,76,89,94,84,78
Midfielder,N. Fekir,216594,88,79,83.0,82,91,83,74,79,84,84
Midfielder,L. Sané,222492,91,89,90.0,84,79,82,71,68,87,78
Midfielder,N. Barella,224232,80,76,78.0,91,90,83,73,95,69,72
Defender,M. Acuña,224334,77,76,76.0,83,90,82,76,90,82,81
Forward,André Silva,228941,77,71,74.0,77,75,74,90,79,83,78
Defender,M. Ginter,207862,54,69,62.0,55,49,72,67,75,74,46
Defender,T. Hernández,232656,92,94,93.0,78,75,74,50,90,80,72
Midfielder,K. Havertz,235790,77,86,82.0,78,75,81,73,77,74,77
Midfielder,P. Foden,237692,86,82,84.0,90,91,84,64,79,82,77
Defender,Felipe,207863,55,66,61.0,66,52,50,47,68,46,41
Midfielder,J. Grealish,206517,81,79,80.0,85,84,85,58,80,76,80
Midfielder,G. Wijnaldum,181291,78,76,77.0,84,88,79,74,93,78,73
Goalkeeper,De Gea,193080,57,58,,63,43,61,29,43,57,12
Forward,Z. Ibrahimović,41236,64,66,65.0,71,53,84,83,52,88,88
Defender,Jesús Navas,146536,90,84,87.0,82,84,83,56,82,74,70
Defender,Piqué,152729,50,64,58.0,57,35,72,69,63,62,51
Forward,D. Mertens,175943,90,80,85.0,93,92,84,79,66,80,81
Defender,L. Shaw,205988,76,81,79.0,75,77,81,44,80,70,54
Midfielder,J. Henderson,183711,67,66,66.0,69,68,80,64,86,77,75
Midfielder,Fernando,184134,65,67,66.0,70,62,76,54,82,76,68
Defender,K. Trippier,186345,74,73,73.0,73,77,80,66,87,75,70
Forward,Iago Aspas,192629,78,86,82.0,90,72,81,82,69,79,81
Defender,D. Alaba,197445,78,77,77.0,76,77,78,79,75,82,78
Midfielder,Luis Alberto,198706,61,59,60.0,69,83,92,56,75,78,76
Forward,W. Ben Yedder,199451,83,81,82.0,91,91,80,85,75,84,74
Defender,L. Digne,200458,81,77,79.0,74,78,75,60,86,83,76
Forward,J. Iličić,200647,76,74,75.0,83,73,87,78,65,88,89
Goalkeeper,E. Martínez,202811,59,57,,49,49,66,42,40,62,16
Defender,H. Maguire,203263,47,53,50.0,50,41,70,44,82,75,52
Defender,S. Savić,204639,60,67,64.0,59,45,55,37,53,43,31
Midfielder,M. Sabitzer,204923,75,81,78.0,75,80,83,72,85,88,88
Forward,D. Zapata,215333,78,81,80.0,67,58,66,70,75,86,64
Midfielder,Marco Asensio,220834,83,81,82.0,80,75,81,62,76,86,83
Defender,L. Hernández,220814,77,77,77.0,70,68,63,42,76,62,51
Defender,Angeliño,220651,85,73,78.0,83,85,79,55,85,80,69
Forward,A. Kramarić,216354,76,67,71.0,84,86,74,91,76,84,85
Defender,R. Gosens,223697,79,84,82.0,71,66,60,50,89,76,68
Forward,Á. Correa,214997,86,85,85.0,90,87,84,55,82,83,86
Midfielder,P. Højbjerg,213648,58,61,60.0,65,64,73,51,88,84,79
Midfielder,T. Lemar,213565,84,80,82.0,88,82,83,68,76,79,77
Defender,Gayà,211688,81,85,83.0,82,78,75,52,87,62,59
Midfielder,T. Partey,209989,63,74,69.0,75,50,85,49,83,86,78
Forward,W. Weghorst,223689,59,66,63.0,62,44,67,71,83,86,74
Midfielder,L. Ocampos,205632,80,82,81.0,79,61,79,79,91,84,80
Midfielder,Merino,225193,73,75,74.0,76,72,83,58,84,84,78
Defender,P. Kimpembe,225850,80,81,81.0,69,60,64,57,81,70,37
Defender,F. Mendy,228618,91,92,92.0,81,78,75,49,89,69,64
Defender,A. Wan-Bissaka,229880,82,88,85.0,84,72,66,44,81,70,46
Midfielder,Arthur,230658,71,67,69.0,85,90,80,69,79,76,74
Forward,Gabriel Jesus,230666,87,82,84.0,91,87,77,75,79,82,76
Midfielder,O. Dembélé,231443,94,93,93.0,89,80,76,75,68,83,76
Midfielder,M. Mount,233064,77,71,74.0,80,76,83,60,86,81,82
Goalkeeper,É. Mendy,234642,36,33,,48,27,44,13,35,59,9
Midfielder,F. Chiesa,235805,91,91,91.0,87,81,75,62,85,86,84
Midfielder,F. Valverde,239053,82,90,86.0,76,68,80,59,86,80,81
Defender,J. Koundé,241486,81,81,81.0,71,74,62,43,76,48,40
Midfielder,M. Kovačić,207410,77,65,70.0,87,84,84,59,79,79,75
Forward,João Félix,242444,81,83,82.0,86,79,82,68,75,80,80
Defender,A. Rüdiger,205452,64,84,75.0,56,50,59,40,69,72,44
Defender,K. Manolas,192774,77,84,81.0,70,60,22,26,69,40,12
Goalkeeper,J. Pickford,204935,53,44,,55,55,69,45,45,65,13
