Positions,sofifa_id,short_name,Physic,Defending,Reactions,Aggression,Interceptions,Positioning,Composure,MarkingAwareness,StandingTackle,SlidingTackle,Jumping,Strength
Midfielder,158023,L. Messi,65.0,34.0,94,44,40,93,96,20,35,24,68,69
Forward,188545,R. Lewandowski,82.0,44.0,93,81,49,95,88,35,42,19,85,86
Forward,20801,Cristiano Ronaldo,75.0,34.0,94,63,29,95,95,24,32,24,95,77
Midfielder,190871,Neymar Jr,63.0,37.0,89,63,37,86,93,35,32,29,64,53
Midfielder,192985,K. De Bruyne,78.0,64.0,91,76,66,88,89,68,65,53,63,74
Goalkeeper,200389,J. Oblak,,,88,34,19,11,68,27,12,18,78,78
Forward,231747,K. Mbappé,77.0,36.0,93,62,38,92,88,26,34,32,78,77
Goalkeeper,167495,M. Neuer,,,87,29,30,12,70,17,10,11,77,80
Goalkeeper,192448,M. ter Stegen,,,86,43,22,11,70,25,13,10,79,78
Forward,202126,H. Kane,83.0,47.0,92,80,44,94,91,50,36,38,79,85
Midfielder,215914,N. Kanté,83.0,87.0,93,93,91,72,84,90,93,86,77,72
Midfielder,208722,S. Mané,77.0,44.0,91,75,35,90,84,42,42,38,87,72
Goalkeeper,230621,G. Donnarumma,,,85,30,26,14,68,20,14,16,72,72
Goalkeeper,212831,Alisson,,,87,27,11,13,65,15,19,16,52,78
Goalkeeper,210257,Ederson,,,88,38,27,20,70,29,15,8,66,78
Midfielder,209331,M. Salah,75.0,45.0,92,63,55,91,90,38,43,41,69,75
Midfielder,212622,J. Kimmich,79.0,83.0,88,89,84,80,85,85,85,79,79,68
Defender,203376,V. van Dijk,84.0,91.0,87,83,90,47,90,92,92,86,90,92
Forward,165153,K. Benzema,77.0,39.0,91,63,39,90,90,43,24,18,79,82
Midfielder,200104,H. Son,69.0,43.0,91,62,39,91,89,50,34,33,60,64
Goalkeeper,192119,T. Courtois,,,84,23,15,13,66,20,18,16,68,70
Midfielder,200145,Casemiro,90.0,86.0,87,91,87,75,84,85,88,87,87,90
Goalkeeper,193041,K. Navas,,,85,32,22,16,67,28,14,14,74,75
Forward,239085,E. Haaland,88.0,45.0,88,85,43,89,84,44,43,30,74,93
Midfielder,212198,Bruno Fernandes,77.0,70.0,91,78,66,87,87,72,73,65,73,70
Midfielder,202652,R. Sterling,66.0,45.0,90,59,30,91,78,47,53,47,57,64
Forward,192505,R. Lukaku,83.0,39.0,91,71,27,89,86,30,41,30,76,95
Midfielder,182521,T. Kroos,68.0,71.0,90,60,80,76,88,71,73,60,32,72
Forward,176580,L. Suárez,83.0,47.0,92,87,41,91,87,42,45,38,69,85
Defender,155862,Sergio Ramos,84.0,88.0,92,90,87,73,88,84,89,91,93,84
Midfielder,199556,M. Verratti,67.0,79.0,87,89,85,78,94,78,82,84,67,54
Defender,239818,Rúben Dias,88.0,88.0,87,92,85,39,81,90,89,85,78,88
Midfielder,233049,J. Sancho,65.0,36.0,85,44,39,83,86,32,39,32,51,68
Defender,231281,T. Alexander-Arnold,72.0,80.0,82,74,82,77,81,80,83,79,66,63
Midfielder,228702,F. de Jong,78.0,77.0,88,75,82,77,90,76,76,77,76,74
Defender,216267,A. Robertson,76.0,82.0,85,85,83,77,83,83,84,81,62,65
Midfielder,209658,L. Goretzka,86.0,81.0,88,81,86,85,82,74,85,77,79,88
Defender,207865,Marquinhos,81.0,89.0,87,81,88,68,86,89,89,89,92,78
Forward,211110,P. Dybala,60.0,40.0,80,43,42,82,79,32,41,39,75,61
Midfielder,195864,P. Pogba,83.0,65.0,83,78,65,80,88,59,67,63,82,89
Forward,153079,S. Agüero,69.0,33.0,89,65,24,91,91,30,29,24,78,74
Midfielder,189596,T. Müller,71.0,56.0,94,62,58,96,84,47,57,46,77,66
Goalkeeper,186153,W. Szczęsny,,,82,40,15,14,65,20,13,12,71,65
Midfielder,183898,Á. Di María,69.0,48.0,84,73,42,84,86,41,55,52,73,62
Midfielder,177003,L. Modrić,66.0,72.0,88,62,80,78,92,70,75,71,67,58
Goalkeeper,167948,H. Lloris,,,85,31,27,10,65,29,10,18,74,43
Forward,192387,C. Immobile,77.0,39.0,90,77,40,91,79,34,33,32,82,76
Midfielder,213345,K. Coman,60.0,30.0,85,35,23,85,78,29,27,21,73,64
Forward,208830,J. Vardy,73.0,52.0,91,87,49,92,88,45,52,54,80,66
Defender,210514,João Cancelo,72.0,80.0,85,73,80,80,85,79,82,80,72,62
Defender,212218,A. Laporte,80.0,86.0,87,81,87,54,84,86,87,86,80,84
Midfielder,231866,Rodri,82.0,82.0,80,76,83,75,83,83,84,78,72,82
Midfielder,218667,Bernardo Silva,67.0,54.0,84,70,54,83,87,49,63,45,51,54
Midfielder,226161,Marcos Llorente,82.0,78.0,86,83,82,87,83,79,80,74,69,79
Midfielder,204485,R. Mahrez,60.0,38.0,81,48,39,80,84,45,31,22,56,57
Defender,232363,M. Škriniar,84.0,87.0,86,84,86,30,87,90,88,82,84,86
Forward,208093,Gerard Moreno,73.0,46.0,89,61,42,87,78,44,41,41,76,75
Midfielder,209499,Fabinho,83.0,85.0,86,85,87,70,84,86,87,85,75,81
Defender,201535,R. Varane,82.0,87.0,84,80,85,55,83,86,88,87,81,86
Midfielder,189509,Thiago,66.0,70.0,84,72,82,75,88,67,71,68,80,59
Defender,201024,K. Koulibaly,85.0,87.0,83,83,85,35,82,90,88,86,82,94
Defender,138956,G. Chiellini,85.0,89.0,80,88,89,28,83,93,89,88,91,91
Goalkeeper,162835,S. Handanovič,,,79,25,22,12,69,25,10,13,78,69
Defender,189332,Jordi Alba,71.0,77.0,80,75,81,83,80,74,78,80,80,61
Defender,178603,M. Hummels,77.0,89.0,88,71,89,57,89,90,90,86,70,86
Midfielder,189511,Sergio Busquets,75.0,82.0,86,81,85,77,90,84,82,81,66,72
Midfielder,189513,Parejo,69.0,71.0,80,58,81,82,85,70,70,69,49,70
Goalkeeper,192984,K. Casteels,,,83,33,16,15,40,11,19,17,58,72
Midfielder,198219,L. Insigne,45.0,36.0,79,34,26,81,81,53,24,22,50,34
Midfielder,223848,S. Milinković-Savić,86.0,79.0,83,79,78,79,84,78,79,74,85,87
Forward,201942,Roberto Firmino,78.0,59.0,86,75,58,82,88,55,64,42,81,74
Forward,202556,M. Depay,79.0,30.0,83,72,28,85,80,23,31,20,69,83
Defender,204963,Carvajal,80.0,81.0,83,84,81,75,81,82,82,84,77,74
Midfielder,205498,Jorginho,73.0,73.0,82,79,81,69,81,67,81,71,58,66
Midfielder,206113,S. Gnabry,69.0,43.0,86,63,38,86,80,45,44,43,65,68
Defender,235243,M. de Ligt,87.0,84.0,84,83,81,44,82,84,85,85,93,93
Midfielder,226790,W. Ndidi,83.0,87.0,88,87,90,67,80,87,90,85,90,78
Midfielder,230142,Oyarzabal,63.0,41.0,81,52,29,85,83,55,32,30,72,57
Forward,231478,L. Martínez,84.0,48.0,89,86,45,86,83,55,31,44,88,84
Midfielder,231677,M. Rashford,77.0,43.0,84,73,42,83,80,45,38,33,74,75
Defender,235212,A. Hakimi,78.0,76.0,84,75,78,78,80,75,78,76,80,73
Forward,194765,A. Griezmann,72.0,52.0,89,73,49,89,90,43,54,49,90,63
Defender,198176,S. de Vrij,79.0,87.0,85,77,87,31,85,89,87,85,79,79
Midfielder,193747,Koke,80.0,79.0,88,79,83,83,86,82,81,70,59,75
Defender,164240,Thiago Silva,78.0,86.0,82,76,88,59,86,87,86,84,88,82
Midfielder,183277,E. Hazard,63.0,35.0,79,54,41,83,89,34,27,22,55,61
Midfielder,143076,A. Gómez,55.0,39.0,86,56,40,80,85,50,30,34,70,44
Goalkeeper,163587,K. Schmeichel,,,82,35,20,13,67,14,14,13,60,64
Midfielder,168542,David Silva,53.0,52.0,85,56,50,86,91,58,53,29,61,45
Goalkeeper,177683,Y. Sommer,,,82,38,21,15,57,9,19,12,73,68
Forward,179813,E. Cavani,79.0,51.0,90,81,54,93,85,45,48,39,88,77
Defender,184344,L. Bonucci,80.0,86.0,82,82,86,38,86,88,85,81,90,86
Goalkeeper,185122,P. Gulácsi,,,81,34,23,11,45,25,16,20,67,74
Midfielder,186942,İ. Gündoğan,72.0,73.0,86,70,78,82,87,76,75,67,61,73
Midfielder,188350,M. Reus,63.0,47.0,86,51,49,85,85,52,38,54,68,66
Defender,188377,K. Walker,82.0,80.0,85,84,80,68,75,77,84,83,83,80
Forward,188567,P. Aubameyang,69.0,35.0,86,43,48,90,87,20,29,36,75,74
Defender,209889,R. Guerreiro,58.0,76.0,86,52,83,79,86,79,79,78,53,50
Midfielder,216352,M. Brozović,78.0,79.0,76,85,81,70,82,77,81,80,70,67
Goalkeeper,215698,M. Maignan,,,82,30,25,15,65,23,16,19,74,78
Forward,212188,T. Werner,70.0,35.0,87,63,37,88,79,39,20,19,75,65
Defender,210243,Ricardo Pereira,75.0,80.0,83,79,79,77,81,80,84,83,75,69
Midfielder,208670,H. Ziyech,65.0,50.0,84,73,52,82,79,44,56,40,35,58
Midfielder,208574,F. Kostić,80.0,68.0,82,80,63,79,80,69,72,68,67,77
Midfielder,208418,Y. Carrasco,67.0,45.0,80,65,43,80,79,44,47,35,71,61
Defender,216460,J. Giménez,80.0,86.0,78,88,84,24,76,87,87,86,90,86
Midfielder,216393,Y. Tielemans,72.0,71.0,83,68,74,80,86,70,73,69,66,69
Midfielder,230938,F. Kessié,87.0,82.0,81,84,84,74,84,85,84,78,72,86
Midfielder,216594,N. Fekir,79.0,38.0,79,79,34,82,89,34,42,30,64,81
Midfielder,222492,L. Sané,68.0,38.0,79,63,34,84,80,36,32,35,64,70
Midfielder,224232,N. Barella,78.0,75.0,89,79,84,83,85,74,75,79,78,69
Defender,224334,M. Acuña,82.0,79.0,83,84,79,81,87,80,84,82,63,80
Forward,228941,André Silva,77.0,45.0,86,75,59,87,84,36,40,21,88,76
Defender,207862,M. Ginter,79.0,86.0,86,74,84,55,71,87,89,79,77,84
Defender,232656,T. Hernández,82.0,77.0,84,82,78,80,80,74,79,80,68,79
Midfielder,235790,K. Havertz,66.0,45.0,83,42,38,82,84,39,46,38,75,69
Midfielder,237692,P. Foden,57.0,56.0,83,64,59,82,82,58,59,47,49,44
Defender,207863,Felipe,84.0,85.0,81,89,85,34,75,86,85,82,89,90
Midfielder,206517,J. Grealish,64.0,46.0,79,60,44,81,88,48,49,43,36,61
Midfielder,181291,G. Wijnaldum,79.0,79.0,86,75,80,79,86,79,80,70,81,74
Goalkeeper,193080,De Gea,,,83,38,30,12,63,25,21,13,67,55
Forward,41236,Z. Ibrahimović,77.0,34.0,83,84,20,89,90,28,37,24,79,87
Defender,146536,Jesús Navas,58.0,79.0,84,75,80,81,82,82,77,79,63,39
Defender,152729,Piqué,78.0,85.0,85,79,85,64,87,86,85,83,74,86
Forward,175943,D. Mertens,50.0,34.0,80,59,36,82,81,23,40,40,58,37
Defender,205988,L. Shaw,80.0,81.0,82,84,79,78,83,83,83,79,83,79
Midfielder,183711,J. Henderson,81.0,78.0,85,83,81,78,82,79,81,76,78,78
Midfielder,184134,Fernando,82.0,83.0,83,85,85,59,78,84,85,83,76,81
Defender,186345,K. Trippier,72.0,80.0,81,73,80,76,77,79,81,80,78,64
Forward,192629,Iago Aspas,63.0,35.0,84,63,39,84,85,39,21,18,66,60
Defender,197445,D. Alaba,76.0,83.0,88,74,85,73,85,86,83,82,81,76
Midfielder,198706,Luis Alberto,59.0,57.0,74,29,59,76,78,58,58,52,53,64
Forward,199451,W. Ben Yedder,70.0,39.0,86,62,44,90,85,34,33,26,78,69
Defender,200458,L. Digne,76.0,80.0,83,76,82,73,81,78,83,84,94,69
Forward,200647,J. Iličić,67.0,40.0,80,58,46,85,80,41,32,26,34,74
Goalkeeper,202811,E. Martínez,,,80,37,13,12,60,11,20,20,60,70
Defender,203263,H. Maguire,87.0,85.0,84,84,86,61,85,87,83,78,85,90
Defender,204639,S. Savić,76.0,87.0,83,86,87,29,80,90,86,83,86,83
Midfielder,204923,M. Sabitzer,78.0,67.0,86,77,66,83,80,71,70,59,71,76
Forward,215333,D. Zapata,84.0,35.0,82,72,20,86,82,44,24,22,80,93
Midfielder,220834,Marco Asensio,62.0,43.0,78,45,45,80,82,40,42,39,58,63
Defender,220814,L. Hernández,79.0,84.0,85,88,83,62,76,85,85,86,86,77
Defender,220651,Angeliño,70.0,76.0,82,77,80,79,81,77,74,80,73,60
Forward,216354,A. Kramarić,71.0,30.0,84,73,21,86,83,35,20,26,72,68
Defender,223697,R. Gosens,81.0,77.0,86,80,77,86,77,75,78,79,88,76
Forward,214997,Á. Correa,74.0,49.0,84,79,48,84,76,42,53,44,49,71
Midfielder,213648,P. Højbjerg,82.0,81.0,82,87,82,65,82,84,84,72,65,78
Midfielder,213565,T. Lemar,63.0,59.0,81,63,66,80,79,55,59,63,69,55
Defender,211688,Gayà,73.0,79.0,84,76,80,76,76,79,82,84,53,66
Midfielder,209989,T. Partey,84.0,80.0,82,84,81,70,86,80,84,80,83,84
Forward,223689,W. Weghorst,86.0,52.0,85,85,34,88,83,44,67,30,79,89
