sofifa_id,short_name,Positions,overall,potential,value_eur,wage_eur,age,height_cm,weak_foot,skill_moves,release_clause_eur,pace,shooting,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed
158023,L. Messi,Midfielder,93,93,78000000.0,320000.0,34,170,4,4,144300000.0,85.0,92.0,95.0,34.0,65.0,85,95,70,91,88,96,93,94,91,96,91,80,91,94,95,86,68,72,69,94,44,40,93,95,75,96,20,35,24,6,11,15,14,8,0.0
188545,R. Lewandowski,Forward,92,92,119500000.0,270000.0,32,185,4,4,197200000.0,78.0,92.0,86.0,44.0,82.0,71,95,90,85,89,85,79,85,70,88,77,79,77,93,82,90,85,76,86,87,81,49,95,81,90,88,35,42,19,15,6,12,8,10,0.0
20801,Cristiano Ronaldo,Forward,91,91,45000000.0,270000.0,36,187,4,5,83300000.0,87.0,94.0,88.0,34.0,75.0,87,95,90,80,86,88,81,84,77,88,85,88,86,94,74,94,95,77,77,93,63,29,95,76,88,95,24,32,24,7,11,15,14,11,0.0
190871,Neymar Jr,Midfielder,91,91,129000000.0,270000.0,29,175,5,5,238700000.0,91.0,83.0,94.0,37.0,63.0,85,83,63,86,86,95,88,87,81,95,93,89,96,89,84,80,64,81,53,81,63,37,86,90,93,93,35,32,29,9,9,15,15,11,0.0
192985,K. De Bruyne,Midfielder,91,91,125500000.0,350000.0,30,181,5,4,232200000.0,76.0,86.0,88.0,64.0,78.0,94,82,55,94,82,88,85,83,93,91,76,76,79,91,78,91,63,89,74,91,76,66,88,94,83,89,68,65,53,15,13,5,10,13,0.0
200389,J. Oblak,Goalkeeper,91,93,112000000.0,130000.0,28,188,3,1,238000000.0,0.0,0.0,0.0,0.0,0.0,13,11,15,43,13,12,13,14,40,30,43,60,67,88,49,59,78,41,78,12,34,19,11,65,11,68,27,12,18,87,92,78,90,90,50.0
231747,K. Mbappé,Forward,91,95,194000000.0,230000.0,22,182,4,5,373500000.0,97.0,88.0,92.0,36.0,77.0,78,93,72,85,83,93,80,69,71,91,97,97,92,93,83,86,78,88,77,82,62,38,92,82,79,88,26,34,32,13,5,7,11,6,0.0
167495,M. Neuer,Goalkeeper,90,90,13500000.0,86000.0,35,193,4,1,22300000.0,0.0,0.0,0.0,0.0,0.0,15,13,25,60,11,30,14,11,68,46,54,60,51,87,35,68,77,43,80,16,29,30,12,70,47,70,17,10,11,88,88,91,89,88,56.0
192448,M. ter Stegen,Goalkeeper,90,92,99000000.0,250000.0,29,187,4,1,210400000.0,0.0,0.0,0.0,0.0,0.0,18,14,11,61,14,21,18,12,63,30,38,50,39,86,43,66,79,35,78,10,43,22,11,70,25,70,25,13,10,88,85,88,88,90,43.0
202126,H. Kane,Forward,90,90,129500000.0,240000.0,27,188,5,3,246100000.0,70.0,91.0,83.0,47.0,83.0,80,94,86,85,88,83,83,65,86,85,65,74,71,92,70,91,79,83,85,86,80,44,94,87,91,91,50,36,38,8,10,11,14,11,0.0
