sofifa_id,short_name,player_face_url,Positions,club_name,preferred_foot,club_contract_valid_until
158023,L. Messi,https://cdn.sofifa.net/players/158/023/22_120.png,Midfielder,Paris Saint-Germain,Left,2023.0
188545,R. Lewandowski,https://cdn.sofifa.net/players/188/545/22_120.png,Forward,FC Bayern München,Right,2023.0
20801,Cristiano Ronaldo,https://cdn.sofifa.net/players/020/801/22_120.png,Forward,Manchester United,Right,2023.0
190871,Neymar Jr,https://cdn.sofifa.net/players/190/871/22_120.png,Midfielder,Paris Saint-Germain,Right,2025.0
192985,K. De Bruyne,https://cdn.sofifa.net/players/192/985/22_120.png,Midfielder,Manchester City,Right,2025.0
200389,J. Oblak,https://cdn.sofifa.net/players/200/389/22_120.png,Goalkeeper,Atlético de Madrid,Right,2023.0
231747,K. Mbappé,https://cdn.sofifa.net/players/231/747/22_120.png,Forward,Paris Saint-Germain,Right,2022.0
167495,M. Neuer,https://cdn.sofifa.net/players/167/495/22_120.png,Goalkeeper,FC Bayern München,Right,2023.0
192448,M. ter Stegen,https://cdn.sofifa.net/players/192/448/22_120.png,Goalkeeper,FC Barcelona,Right,2025.0
202126,H. Kane,https://cdn.sofifa.net/players/202/126/22_120.png,Forward,Tottenham Hotspur,Right,2024.0
215914,N. Kanté,https://cdn.sofifa.net/players/215/914/22_120.png,Midfielder,Chelsea,Right,2023.0
165153,K. Benzema,https://cdn.sofifa.net/players/165/153/22_120.png,Forward,Real Madrid CF,Right,2023.0
192119,T. Courtois,https://cdn.sofifa.net/players/192/119/22_120.png,Goalkeeper,Real Madrid CF,Left,2026.0
200104,H. Son,https://cdn.sofifa.net/players/200/104/22_120.png,Midfielder,Tottenham Hotspur,Right,2025.0
200145,Casemiro,https://cdn.sofifa.net/players/200/145/22_120.png,Midfielder,Real Madrid CF,Right,2025.0
203376,V. van Dijk,https://cdn.sofifa.net/players/203/376/22_120.png,Defender,Liverpool,Right,2025.0
208722,S. Mané,https://cdn.sofifa.net/players/208/722/22_120.png,Midfielder,Liverpool,Right,2023.0
209331,M. Salah,https://cdn.sofifa.net/players/209/331/22_120.png,Midfielder,Liverpool,Left,2023.0
210257,Ederson,https://cdn.sofifa.net/players/210/257/22_120.png,Goalkeeper,Manchester City,Left,2026.0
212622,J. Kimmich,https://cdn.sofifa.net/players/212/622/22_120.png,Midfielder,FC Bayern München,Right,2025.0
212831,Alisson,https://cdn.sofifa.net/players/212/831/22_120.png,Goalkeeper,Liverpool,Right,2027.0
230621,G. Donnarumma,https://cdn.sofifa.net/players/230/621/22_120.png,Goalkeeper,Paris Saint-Germain,Right,2026.0
155862,Sergio Ramos,https://cdn.sofifa.net/players/155/862/22_120.png,Defender,Paris Saint-Germain,Right,2023.0
176580,L. Suárez,https://cdn.sofifa.net/players/176/580/22_120.png,Forward,Atlético de Madrid,Right,2022.0
182521,T. Kroos,https://cdn.sofifa.net/players/182/521/22_120.png,Midfielder,Real Madrid CF,Right,2023.0
