sofifa_id,short_name,value_eur,wage_eur,Positions,percentile,count,percentile_wage
231747,K. Mbappé,194000000.0,230000.0,Forward,100.0,1,99.39
239085,E. Haaland,137500000.0,110000.0,Forward,99.97,1,95.66
202126,H. Kane,129500000.0,240000.0,Forward,99.93,1,99.46
190871,Neymar Jr,129000000.0,270000.0,Midfielder,99.9,1,99.8
192985,K. De Bruyne,125500000.0,350000.0,Midfielder,99.87,1,100.0
188545,R. Lewandowski,119500000.0,270000.0,Forward,99.83,3,99.8
228702,F. de Jong,119500000.0,210000.0,Midfielder,99.83,3,99.13
230621,G. Donnarumma,119500000.0,110000.0,Goalkeeper,99.83,3,95.66
233049,J. Sancho,116500000.0,150000.0,Midfielder,99.73,1,97.78
231281,T. Alexander-Arnold,114000000.0,150000.0,Defender,99.7,1,97.78
200389,J. Oblak,112000000.0,130000.0,Goalkeeper,99.66,1,97.11
212622,J. Kimmich,108000000.0,160000.0,Midfielder,99.63,1,98.02
202652,R. Sterling,107500000.0,290000.0,Midfielder,99.6,2,99.83
212198,Bruno Fernandes,107500000.0,250000.0,Midfielder,99.6,2,99.56
200104,H. Son,104000000.0,220000.0,Midfielder,99.53,1,99.29
239818,Rúben Dias,102500000.0,170000.0,Defender,99.5,1,98.35
209331,M. Salah,101000000.0,270000.0,Midfielder,99.46,2,99.8
208722,S. Mané,101000000.0,270000.0,Midfielder,99.46,2,99.8
215914,N. Kanté,100000000.0,230000.0,Midfielder,99.39,1,99.39
192448,M. ter Stegen,99000000.0,250000.0,Goalkeeper,99.36,1,99.56
237692,P. Foden,94500000.0,125000.0,Midfielder,99.33,2,96.74
235790,K. Havertz,94500000.0,130000.0,Midfielder,99.33,2,97.11
210257,Ederson,94000000.0,200000.0,Goalkeeper,99.26,1,99.06
192505,R. Lukaku,93500000.0,260000.0,Forward,99.23,1,99.63
211110,P. Dybala,93000000.0,160000.0,Forward,99.19,2,98.02
209658,L. Goretzka,93000000.0,140000.0,Midfielder,99.19,2,97.48
207865,Marquinhos,90500000.0,135000.0,Defender,99.13,1,97.24
200145,Casemiro,88000000.0,310000.0,Midfielder,99.09,2,99.9
226161,Marcos Llorente,88000000.0,95000.0,Midfielder,99.09,2,94.32
203376,V. van Dijk,86000000.0,230000.0,Defender,99.03,1,99.39
192119,T. Courtois,85500000.0,250000.0,Goalkeeper,98.99,1,99.56
216267,A. Robertson,83500000.0,175000.0,Defender,98.96,1,98.49
212831,Alisson,82000000.0,190000.0,Goalkeeper,98.92,2,98.89
242444,João Félix,82000000.0,61000.0,Forward,98.92,2,86.62
213345,K. Coman,81000000.0,120000.0,Midfielder,98.86,2,96.5
