sofifa_id,short_name,League,Positions,Age,Overall,Potential,Wage (eur),Value (eur),Height (cm),Weight (kg)
158023,L. Messi,French Ligue 1,Midfielder,34,93,93,320000.0,78000000.0,170,72
188545,R. Lewandowski,German 1. Bundesliga,Forward,32,92,92,270000.0,119500000.0,185,81
20801,Cristiano Ronaldo,English Premier League,Forward,36,91,91,270000.0,45000000.0,187,83
190871,Neymar Jr,French Ligue 1,Midfielder,29,91,91,270000.0,129000000.0,175,68
192985,K. De Bruyne,English Premier League,Midfielder,30,91,91,350000.0,125500000.0,181,70
200389,J. Oblak,Spain Primera Division,Goalkeeper,28,91,93,130000.0,112000000.0,188,87
231747,K. Mbappé,French Ligue 1,Forward,22,91,95,230000.0,194000000.0,182,73
167495,M. Neuer,German 1. Bundesliga,Goalkeeper,35,90,90,86000.0,13500000.0,193,93
192448,M. ter Stegen,Spain Primera Division,Goalkeeper,29,90,92,250000.0,99000000.0,187,85
202126,H. Kane,English Premier League,Forward,27,90,90,240000.0,129500000.0,188,89
215914,N. Kanté,English Premier League,Midfielder,30,90,90,230000.0,100000000.0,168,70
165153,K. Benzema,Spain Primera Division,Forward,33,89,89,350000.0,66000000.0,185,81
192119,T. Courtois,Spain Primera Division,Goalkeeper,29,89,91,250000.0,85500000.0,199,96
200104,H. Son,English Premier League,Midfielder,28,89,89,220000.0,104000000.0,183,78
200145,Casemiro,Spain Primera Division,Midfielder,29,89,89,310000.0,88000000.0,185,84
203376,V. van Dijk,English Premier League,Defender,29,89,89,230000.0,86000000.0,193,92
208722,S. Mané,English Premier League,Midfielder,29,89,89,270000.0,101000000.0,175,69
209331,M. Salah,English Premier League,Midfielder,29,89,89,270000.0,101000000.0,175,71
210257,Ederson,English Premier League,Goalkeeper,27,89,91,200000.0,94000000.0,188,86
212622,J. Kimmich,German 1. Bundesliga,Midfielder,26,89,90,160000.0,108000000.0,177,75
212831,Alisson,English Premier League,Goalkeeper,28,89,90,190000.0,82000000.0,191,91
230621,G. Donnarumma,French Ligue 1,Goalkeeper,22,89,93,110000.0,119500000.0,196,90
155862,Sergio Ramos,French Ligue 1,Defender,35,88,88,115000.0,24000000.0,184,82
176580,L. Suárez,Spain Primera Division,Forward,34,88,88,135000.0,44500000.0,182,83
182521,T. Kroos,Spain Primera Division,Midfielder,31,88,88,310000.0,75000000.0,183,76
192505,R. Lukaku,English Premier League,Forward,28,88,88,260000.0,93500000.0,191,94
193041,K. Navas,French Ligue 1,Goalkeeper,34,88,88,130000.0,15500000.0,185,80
202652,R. Sterling,English Premier League,Midfielder,26,88,89,290000.0,107500000.0,170,69
212198,Bruno Fernandes,English Premier League,Midfielder,26,88,89,250000.0,107500000.0,179,69
239085,E. Haaland,German 1. Bundesliga,Forward,20,88,93,110000.0,137500000.0,194,94
153079,S. Agüero,Spain Primera Division,Forward,33,87,87,260000.0,51000000.0,173,70
167948,H. Lloris,English Premier League,Goalkeeper,34,87,87,125000.0,13500000.0,188,82
177003,L. Modrić,Spain Primera Division,Midfielder,35,87,87,190000.0,32000000.0,172,66
183898,Á. Di María,French Ligue 1,Midfielder,33,87,87,160000.0,49500000.0,180,69
186153,W. Szczęsny,Italian Serie A,Goalkeeper,31,87,87,105000.0,42000000.0,195,90
189596,T. Müller,German 1. Bundesliga,Midfielder,31,87,87,140000.0,66000000.0,185,76
192387,C. Immobile,Italian Serie A,Forward,31,87,87,125000.0,67500000.0,185,85
195864,P. Pogba,English Premier League,Midfielder,28,87,87,220000.0,79500000.0,191,84
199556,M. Verratti,French Ligue 1,Midfielder,28,87,87,155000.0,79500000.0,165,60
207865,Marquinhos,French Ligue 1,Defender,27,87,90,135000.0,90500000.0,183,75
209658,L. Goretzka,German 1. Bundesliga,Midfielder,26,87,88,140000.0,93000000.0,189,82
211110,P. Dybala,Italian Serie A,Forward,27,87,88,160000.0,93000000.0,177,75
216267,A. Robertson,English Premier League,Defender,27,87,88,175000.0,83500000.0,178,64
228702,F. de Jong,Spain Primera Division,Midfielder,24,87,92,210000.0,119500000.0,180,74
231281,T. Alexander-Arnold,English Premier League,Defender,22,87,92,150000.0,114000000.0,180,69
233049,J. Sancho,English Premier League,Midfielder,21,87,91,150000.0,116500000.0,180,76
239818,Rúben Dias,English Premier League,Defender,24,87,91,170000.0,102500000.0,187,82
138956,G. Chiellini,Italian Serie A,Defender,36,86,86,88000.0,12000000.0,187,85
162835,S. Handanovič,Italian Serie A,Goalkeeper,36,86,86,78000.0,7500000.0,193,92
178603,M. Hummels,German 1. Bundesliga,Defender,32,86,86,95000.0,44000000.0,191,96
189332,Jordi Alba,Spain Primera Division,Defender,32,86,86,200000.0,47000000.0,170,68
189509,Thiago,English Premier League,Midfielder,30,86,86,180000.0,65000000.0,174,70
189511,Sergio Busquets,Spain Primera Division,Midfielder,32,86,86,200000.0,45000000.0,189,76
189513,Parejo,Spain Primera Division,Midfielder,32,86,86,64000.0,53500000.0,182,74
192984,K. Casteels,German 1. Bundesliga,Goalkeeper,29,86,87,88000.0,52000000.0,197,86
198219,L. Insigne,Italian Serie A,Midfielder,30,86,86,125000.0,65500000.0,163,59
201024,K. Koulibaly,Italian Serie A,Defender,30,86,86,105000.0,55500000.0,187,89
201535,R. Varane,English Premier League,Defender,28,86,88,180000.0,68500000.0,191,81
204485,R. Mahrez,English Premier League,Midfielder,30,86,86,220000.0,65500000.0,179,67
208093,Gerard Moreno,Spain Primera Division,Forward,29,86,86,73000.0,68000000.0,180,77
208830,J. Vardy,English Premier League,Forward,34,86,86,180000.0,33000000.0,179,74
209499,Fabinho,English Premier League,Midfielder,27,86,88,165000.0,73500000.0,188,78
210514,João Cancelo,English Premier League,Defender,27,86,87,185000.0,71500000.0,182,74
212218,A. Laporte,English Premier League,Defender,27,86,89,185000.0,77000000.0,191,85
213345,K. Coman,German 1. Bundesliga,Midfielder,25,86,87,120000.0,81000000.0,180,76
218667,Bernardo Silva,English Premier League,Midfielder,26,86,87,200000.0,80000000.0,173,64
226161,Marcos Llorente,Spain Primera Division,Midfielder,26,86,89,95000.0,88000000.0,184,74
231866,Rodri,English Premier League,Midfielder,25,86,89,175000.0,81000000.0,191,82
232363,M. Škriniar,Italian Serie A,Defender,26,86,88,150000.0,74000000.0,188,80
143076,A. Gómez,Spain Primera Division,Midfielder,33,85,85,51000.0,33500000.0,167,68
163587,K. Schmeichel,English Premier League,Goalkeeper,34,85,85,115000.0,9000000.0,189,89
164240,Thiago Silva,English Premier League,Defender,36,85,85,105000.0,9500000.0,183,79
168542,David Silva,Spain Primera Division,Midfielder,35,85,85,44000.0,22000000.0,173,67
177683,Y. Sommer,German 1. Bundesliga,Goalkeeper,32,85,85,40000.0,26500000.0,183,79
179813,E. Cavani,English Premier League,Forward,34,85,85,190000.0,26000000.0,185,77
183277,E. Hazard,Spain Primera Division,Midfielder,30,85,85,240000.0,52000000.0,175,74
184344,L. Bonucci,Italian Serie A,Defender,34,85,85,110000.0,17500000.0,190,85
185122,P. Gulácsi,German 1. Bundesliga,Goalkeeper,31,85,85,87000.0,28500000.0,191,86
186942,İ. Gündoğan,English Premier League,Midfielder,30,85,85,185000.0,51500000.0,180,80
188350,M. Reus,German 1. Bundesliga,Midfielder,32,85,85,95000.0,43000000.0,180,71
188377,K. Walker,English Premier League,Defender,31,85,85,170000.0,39000000.0,183,83
188567,P. Aubameyang,English Premier League,Forward,32,85,85,145000.0,43500000.0,187,80
193747,Koke,Spain Primera Division,Midfielder,29,85,85,90000.0,52500000.0,176,75
194765,A. Griezmann,Spain Primera Division,Forward,30,85,85,220000.0,53000000.0,176,73
198176,S. de Vrij,Italian Serie A,Defender,29,85,85,145000.0,45000000.0,189,78
201942,Roberto Firmino,English Premier League,Forward,29,85,85,185000.0,54000000.0,181,76
202556,M. Depay,Spain Primera Division,Forward,27,85,86,220000.0,63000000.0,176,78
204963,Carvajal,Spain Primera Division,Defender,29,85,85,210000.0,47500000.0,173,73
205498,Jorginho,English Premier League,Midfielder,29,85,85,170000.0,52500000.0,180,68
206113,S. Gnabry,German 1. Bundesliga,Midfielder,25,85,86,110000.0,64500000.0,176,77
223848,S. Milinković-Savić,Italian Serie A,Midfielder,26,85,87,100000.0,66000000.0,191,76
226790,W. Ndidi,English Premier League,Midfielder,24,85,88,120000.0,66500000.0,183,74
230142,Oyarzabal,Spain Primera Division,Midfielder,24,85,89,57000.0,77500000.0,181,79
231478,L. Martínez,Italian Serie A,Forward,23,85,89,145000.0,78000000.0,174,72
231677,M. Rashford,English Premier League,Midfielder,23,85,89,150000.0,77500000.0,186,70
235212,A. Hakimi,French Ligue 1,Defender,22,85,88,100000.0,69500000.0,181,73
235243,M. de Ligt,Italian Serie A,Defender,21,85,90,81000.0,75000000.0,189,89
41236,Z. Ibrahimović,Italian Serie A,Forward,39,84,84,51000.0,14500000.0,195,95
146536,Jesús Navas,Spain Primera Division,Defender,35,84,84,30000.0,13000000.0,172,60
152729,Piqué,Spain Primera Division,Defender,34,84,84,175000.0,13500000.0,194,85
175943,D. Mertens,Italian Serie A,Forward,34,84,84,105000.0,20500000.0,169,61
181291,G. Wijnaldum,French Ligue 1,Midfielder,30,84,84,115000.0,40500000.0,175,74
183711,J. Henderson,English Premier League,Midfielder,31,84,84,140000.0,29500000.0,182,80
184134,Fernando,Spain Primera Division,Midfielder,33,84,84,43000.0,21000000.0,183,76
186345,K. Trippier,Spain Primera Division,Defender,30,84,84,74000.0,36500000.0,173,69
192629,Iago Aspas,Spain Primera Division,Forward,33,84,84,46000.0,27000000.0,176,67
193080,De Gea,English Premier League,Goalkeeper,30,84,84,120000.0,28000000.0,192,82
197445,D. Alaba,Spain Primera Division,Defender,29,84,84,195000.0,35500000.0,180,78
198706,Luis Alberto,Italian Serie A,Midfielder,28,84,84,95000.0,42500000.0,183,74
199451,W. Ben Yedder,French Ligue 1,Forward,30,84,84,88000.0,41500000.0,170,68
200458,L. Digne,English Premier League,Defender,27,84,84,110000.0,40500000.0,178,74
200647,J. Iličić,Italian Serie A,Forward,33,84,84,84000.0,27000000.0,190,79
202811,E. Martínez,English Premier League,Goalkeeper,28,84,85,81000.0,33500000.0,195,88
203263,H. Maguire,English Premier League,Defender,28,84,86,155000.0,42500000.0,194,100
204639,S. Savić,Spain Primera Division,Defender,30,84,84,74000.0,34500000.0,187,80
204923,M. Sabitzer,German 1. Bundesliga,Midfielder,27,84,85,110000.0,48000000.0,178,76
205988,L. Shaw,English Premier League,Defender,25,84,86,140000.0,48500000.0,181,75
206517,J. Grealish,English Premier League,Midfielder,25,84,85,180000.0,50500000.0,180,81
207862,M. Ginter,German 1. Bundesliga,Defender,27,84,85,45000.0,42500000.0,191,86
207863,Felipe,Spain Primera Division,Defender,32,84,84,74000.0,27500000.0,190,84
208418,Y. Carrasco,Spain Primera Division,Midfielder,27,84,84,81000.0,45000000.0,185,73
208574,F. Kostić,German 1. Bundesliga,Midfielder,28,84,84,52000.0,42500000.0,184,82
208670,H. Ziyech,English Premier League,Midfielder,28,84,84,170000.0,42500000.0,181,65
209889,R. Guerreiro,German 1. Bundesliga,Defender,27,84,84,79000.0,40500000.0,170,71
210243,Ricardo Pereira,English Premier League,Defender,27,84,84,130000.0,40500000.0,175,70
212188,T. Werner,English Premier League,Forward,25,84,87,155000.0,56500000.0,180,76
215698,M. Maignan,Italian Serie A,Goalkeeper,25,84,89,45000.0,49500000.0,191,89
216352,M. Brozović,Italian Serie A,Midfielder,28,84,84,130000.0,37000000.0,181,68
216393,Y. Tielemans,English Premier League,Midfielder,24,84,87,125000.0,57000000.0,176,72
216460,J. Giménez,Spain Primera Division,Defender,26,84,88,74000.0,52000000.0,185,79
216594,N. Fekir,Spain Primera Division,Midfielder,27,84,84,42000.0,45000000.0,173,75
222492,L. Sané,German 1. Bundesliga,Midfielder,25,84,87,105000.0,56000000.0,183,80
224232,N. Barella,Italian Serie A,Midfielder,24,84,89,120000.0,63500000.0,172,68
224334,M. Acuña,Spain Primera Division,Defender,29,84,84,45000.0,37000000.0,172,69
228941,André Silva,German 1. Bundesliga,Forward,25,84,85,110000.0,51000000.0,185,84
230938,F. Kessié,Italian Serie A,Midfielder,24,84,86,51000.0,49500000.0,183,88
232656,T. Hernández,Italian Serie A,Defender,23,84,90,51000.0,62500000.0,184,81
235790,K. Havertz,English Premier League,Midfielder,22,84,92,130000.0,94500000.0,188,82
237692,P. Foden,English Premier League,Midfielder,21,84,92,125000.0,94500000.0,171,69
135507,Fernandinho,English Premier League,Midfielder,36,83,83,100000.0,7000000.0,179,67
177413,A. Witsel,German 1. Bundesliga,Midfielder,32,83,83,72000.0,24000000.0,186,81
178750,Sergio Asenjo,Spain Primera Division,Goalkeeper,32,83,83,37000.0,18000000.0,189,87
179645,S. Kjær,Italian Serie A,Defender,32,83,83,54000.0,23500000.0,190,86
180930,E. Džeko,Italian Serie A,Forward,35,83,83,105000.0,15500000.0,193,80
183907,J. Boateng,French Ligue 1,Defender,32,83,83,81000.0,23500000.0,190,94
184432,Azpilicueta,English Premier League,Defender,31,83,83,125000.0,25000000.0,178,77
189575,Muniain,Spain Primera Division,Midfielder,28,83,83,44000.0,36500000.0,170,66
190286,Canales,Spain Primera Division,Midfielder,30,83,83,38000.0,34500000.0,176,65
190941,L. Hrádecký,German 1. Bundesliga,Goalkeeper,31,83,83,55000.0,19000000.0,192,83
191043,Alex Sandro,Italian Serie A,Defender,30,83,83,95000.0,31500000.0,180,80
192563,B. Leno,English Premier League,Goalkeeper,29,83,84,87000.0,28000000.0,190,83
